date,fwd_ret,direction,技术,技术_avail,广度,广度_avail,消息面,消息面_avail,资金流,资金流_avail
2018-08-01,-0.026643550748031486,-1,0.009829798816498592,1,-0.44131496352093624,1,0.0,0,0.0,0
2018-08-02,-0.011640524354936566,-1,0.256157556059147,1,-0.28125041221181285,1,0.0,0,0.0,0
2018-08-03,-0.019569557217680944,-1,0.23252886713622645,1,0.11863988391683909,1,0.0,0,0.0,0
2018-08-06,0.026678605092340213,1,0.6638616879090661,1,0.1389216480679835,1,0.0,0,0.0,0
2018-08-07,-0.01542382072963977,-1,0.14792428121133208,1,0.8012506865285995,1,0.0,0,0.0,0
2018-08-08,0.02217820565546469,1,0.49386715821926996,1,-0.055688411196967325,1,0.0,0,0.0,0
2018-08-09,0.006387759358353451,1,0.20155205691932893,1,0.5267640343123989,1,0.0,0,0.0,0
2018-08-10,0.00299481676755442,1,0.3181719986983423,1,0.14870142185473112,1,0.0,0,0.0,0
2018-08-13,-0.0004594404721548484,-1,0.2345348948043806,1,-0.0022677462855459035,1,0.0,0,0.0,0
2018-08-14,-0.01930369508171914,-1,0.015679166995786233,1,-0.09770794759319475,1,0.0,0,0.0,0
2018-08-15,-0.009848587823850008,-1,0.2681359430697412,1,-0.24759288812099559,1,0.0,0,0.0,0
2018-08-16,-0.018074015426755463,-1,0.1511322776620554,1,-0.10425672119005867,1,0.0,0,0.0,0
2018-08-17,0.00570300333232443,1,0.29665633038657296,1,0.0962207201714708,1,0.0,0,0.0,0
2018-08-20,0.01100908654055699,1,0.20665683670758295,1,0.4898618754683909,1,0.0,0,0.0,0
2018-08-21,-0.011679911655569142,-1,0.1279449346084745,1,0.5373395831925477,1,0.0,0,0.0,0
2018-08-22,0.006652891610169576,1,0.39077546101832167,1,-0.03137644298716063,1,0.0,0,0.0,0
2018-08-23,-0.0026897910744552167,-1,0.1672950228229552,1,0.3262900229183157,1,0.0,0,0.0,0
2018-08-24,0.020355731361573426,1,0.15032416427874912,1,-0.018096384058928723,1,0.0,0,0.0,0
2018-08-27,0.0020493766434834804,1,-0.21790015338746532,1,0.35000490568890247,1,0.0,0,0.0,0
2018-08-28,-0.005153915893559069,-1,-0.1216286077039157,1,-0.28066419766617373,1,0.0,0,0.0,0
2018-08-29,-0.015476996062896875,-1,-0.07239699379556226,1,-0.47264407519404134,1,0.0,0,0.0,0
2018-08-30,-0.010787925042321622,-1,-0.007954389705180753,1,-0.27023356406995724,1,0.0,0,0.0,0
2018-08-31,-0.001278901976427882,-1,0.06588560881036151,1,-0.003200286650386424,1,0.0,0,0.0,0
2018-09-03,0.012280844974312588,1,0.10750524605295764,1,-0.021039596487489234,1,0.0,0,0.0,0
2018-09-04,-0.013410741589604092,-1,-0.12791682578454652,1,0.3091789403467264,1,0.0,0,0.0,0
2018-09-05,-0.0027590870353580987,-1,0.18461675168941122,1,-0.1090912539924808,1,0.0,0,0.0,0
2018-09-06,0.0025530480598368044,1,0.08754163856052814,1,-0.011964698919755157,1,0.0,0,0.0,0
2018-09-07,-0.01894804249848947,-1,-0.0587670747593696,1,0.1455888572661793,1,0.0,0,0.0,0
2018-09-10,0.0028121515740180403,1,0.4549503414676986,1,0.2827547501886422,1,0.0,0,0.0,0
2018-09-11,0.0010987386167320423,1,0.27557444846491436,1,0.21198662107095245,1,0.0,0,0.0,0
2018-09-12,0.008862018749622447,1,0.25091241077305704,1,0.0800147290234894,1,0.0,0,0.0,0
2018-09-13,-0.01002909302023558,-1,-0.030678935196565636,1,0.2979626502152433,1,0.0,0,0.0,0
2018-09-14,-0.016279524794685973,-1,0.10593992208719316,1,-0.09421601983944249,1,0.0,0,0.0,0
2018-09-17,0.017657325101116728,1,0.40383237449309106,1,0.2168880001185116,1,0.0,0,0.0,0
2018-09-18,0.01113264125829816,1,0.05090959315517757,1,0.5607702303701988,1,0.0,0,0.0,0
2018-09-19,-0.0023312751025951206,-1,-0.12075319752650784,1,0.1565325168205368,1,0.0,0,0.0,0
2018-09-20,0.012891308854040995,1,-0.07853414690688361,1,-0.31166090310414074,1,0.0,0,0.0,0
